,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,100.00037877968995,200.00091302425008,300.00000000079007,400.0000000171918,662.3092971325741,704.6189252415528,1442.9285760961293,979.0891154250155,10417.950091314002,2811.0048156654993,1177.605728579043,1812.0683818908044,1445.745749409677,1633.5086265034352,1609.0606993414287,2434.4379115875126,2388.735196687578,2466.118245432017,2250.946871518081,2613.13898330057,2200.0000134551838,4603.078526990039,2815.602766185053,2602.3817910183157,2902.108533851265,4271.339250706097,3136.929556651544,3411.821665942656
run_2,100.00037877064928,209.13058003096225,300.0000000000086,400.0000000725842,833.2986380893528,700.7381430678766,1200.9894278253018,1029.8301852089705,5090.297251652107,3338.449389812805,1180.589863647117,1369.7180670937362,1645.841242685507,1632.5300497970848,1678.9524120466494,2257.3450841547337,2391.2617786649885,1853.0407231043614,2839.1344792295704,2522.215120623926,2481.8909605517183,3749.0648050687214,3041.13726493144,2919.29757682293,2898.9287992212694,5149.370426893391,3258.008242225446,3383.733965032965
run_3,100.00037877640104,200.00009888198085,300.0000007916885,400.0000002522894,802.4532284156979,704.9132142021912,1406.6115787036315,956.2060459992953,3220.945560181288,2664.8170388886065,1266.1528199447048,2008.2947615001185,1452.5059820260399,1554.8258789831548,1700.4586084721345,2182.1184827966204,2418.951075888933,1880.881571553615,4085.0087426233135,2689.828434567168,2411.471000875344,5534.068108225377,2824.008031294968,2872.199207184991,2949.637029119874,5228.790897926037,4743.522578040889,3383.733964501065
run_4,100.00037396873265,200.0000312707549,300.0000000046037,400.00000049787565,836.2837570023232,701.6595293767105,1020.0732479240787,886.5607829049432,2678.240868410695,3459.2754026970015,1233.3219717787974,1211.3827755489508,1406.663128212859,1575.5458994899227,1746.6965605421315,1941.7479644312677,2001.1967799903214,2219.7619583052256,2685.3209016452965,2577.0879922076974,2352.7919252699926,4977.842761376598,2750.2136406721042,2789.0663173182215,3559.3530158609983,4734.272019250983,3173.4064513841313,3383.745149798636
run_5,100.00037872843629,200.00075554665716,300.0000000216012,400.0000003741886,599.862960232173,720.0576094596638,1177.9601490333014,943.272544932668,3000.64017135545,2538.5197556851836,1121.888993159335,1939.0447872622012,1361.4599058411875,1520.538175179705,1557.503412922242,2544.4212530804252,2277.5898732094506,1959.4016630352373,2184.1302416776357,2261.758175003571,2532.4125597917846,3071.7585072799106,2982.7986712493507,2897.602932825724,2901.1739657110647,2800.0000167511353,4200.683543803607,3100.0000111244162
run_6,100.00037750252106,200.00000536782858,300.00000021899206,400.00000012319026,645.261817604144,674.7441284946832,957.3307829536262,953.5013070191884,5155.246366038479,2284.429173232689,1218.395786624581,1930.8104486359928,1844.9729011858008,1470.758334312455,1607.1073685462713,2155.442558354743,2672.189035079517,2079.04079773605,2028.8430421447185,2642.9683080063533,2598.73957071023,3694.9515923692466,2777.9770533692017,2968.263393100534,2950.0635181286684,4741.062113688971,3185.8504059798524,3100.0000100808406
run_7,100.00023454607549,201.7996697031365,300.0000000261551,400.0000001659666,629.3423030539566,730.8844943591295,1598.2887715171164,1005.9464812142951,4583.187808914747,2732.472975112059,1201.3007270888604,1675.1013523179931,1688.6840448953444,1651.11781246101,1707.6308258570295,2371.7197936020993,2539.069679231179,1901.6158994333698,3865.596471236895,2578.5526317950407,2385.1101259083675,4461.335511577669,2886.8921601494912,2813.5585409254354,3024.369683523978,4554.930732653886,3101.9154461269386,3411.821666371942
run_8,100.00017759442144,200.00000238877152,300.00000000446164,400.00000024894695,887.0134453976825,723.7242242822068,871.5987306427171,913.424303424182,3768.1007808751597,2619.0280960142372,1139.7978262694999,1921.3303391724935,1647.710872832832,1466.7787402833271,1559.8128490679044,2160.837300598358,1828.7804296595232,1901.16061348401,1964.690767665019,2814.2973328119606,2482.1836378975736,4238.668070982204,3693.7436100057866,2992.268152881001,2949.533223510556,4892.467547414171,3102.0291106210702,3383.73396467863
run_9,100.00037846121397,200.00013906853835,300.00000000249764,400.00000025265035,699.9815348569282,691.6341772212004,1931.0725599771606,922.3770269638067,1534.2168766500617,2781.279625166095,1121.8889931214921,1701.42641927688,1972.1476830799247,1444.1481371056611,1981.594129689485,2124.615315174606,2174.383576261748,2199.134319525839,3982.3375503784914,2389.057639946896,2437.6001714841377,4580.787500833984,4117.006010644723,2923.631734018908,2944.861433643842,4343.907802453891,3459.0574206157944,3411.8216659417817
run_10,100.0003787452356,200.0000045895224,300.00000006586293,400.00000007112715,935.7508627869279,686.0224339002241,1395.246415429291,944.2673379273133,7425.463525101859,2630.3972700832464,1165.6665055506537,1555.5581079151455,1524.474528430901,1582.3304684498069,1542.291529099986,2407.569182158688,2312.697638184068,1913.6510492701316,1930.8493404692342,2649.260061436958,2542.35576589112,2308.6548866721764,2788.3279160362285,2601.529940931561,2899.5849678960244,5039.069502435902,3503.5796847337797,3411.821666003296
