,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,0.007722416999968118,0.03282766700067441,0.014754042000276968,0.013029207999352366,0.005279625000184751,0.012191666999569861,0.008067458000368788,0.004037832999529201,0.02102674999878218,0.006885667000460671,0.00838366700008919,0.1372988749990327,0.11417654199976823,0.056166540998674463,0.04975395799920079,0.07587787499869592,0.06802658400010841,0.023852999998780433,0.0240437499996915,0.10869291599919961,0.06396220900023764,0.03534770799888065,0.03163741599928471,0.046403416999964975,0.04798004199983552,0.03595741699973587,0.06008691699935298,0.04656124999928579
run_2,0.005525791000764002,0.02253033299894014,0.012601792001078138,0.014625583000452025,0.002309915998921497,0.018292000000656117,0.020781499999429798,0.002667582999492879,0.0209955419995822,0.006541583999933209,0.034688040999753866,0.12770637500034354,0.13024720900102693,0.0782162920004339,0.0354561250005645,0.07228587499957939,0.18548175000069023,0.06115495800077042,0.03711875000044529,0.08576200000061363,0.011070292001022608,0.019984458000180894,0.03798987499976647,0.017563999999765656,0.04885587499848043,0.042848916998991626,0.07978033400104323,0.05772016699847882
run_3,0.0058479170002101455,0.028492416999142733,0.013078042000415735,0.01318849999915983,0.0029108750004525064,0.009411916998942615,0.008918957999412669,0.0029709999998885905,0.017650415999014513,0.0038387499989767093,0.027901166999072302,0.059960500000670436,0.1820508750006411,0.07370333300059428,0.042446542000107,0.0643390420009382,0.04554091600039101,0.13568950000080804,0.06631379099962942,0.08486991700010549,0.012416917001246475,0.01214254099977552,0.03291062499920372,0.02089841700035322,0.058062749998498475,0.024946125000496977,0.0277421669998148,0.04310824999993201
run_4,0.008252749999883235,0.0370197089996509,0.01481104099912045,0.01422649999949499,0.0027726250009436626,0.007828167001207476,0.011858541000037803,0.0027686670000548474,0.010948083998300717,0.00467137500163517,0.02117920799901185,0.06495474999974249,0.11714449999999488,0.04501695799990557,0.017520041999887326,0.08203241699993669,0.1032718330006901,0.027001292000932153,0.03816362499856041,0.09520420899934834,0.010725792000812362,0.05020062499897904,0.020264709000912262,0.015934583001580904,0.053593459000694565,0.024280207999254344,0.02121475000058126,0.036082958000406506
run_5,0.006351624999297201,0.0294837909987109,0.010001791000831872,0.010902500000156579,0.002069875001325272,0.006768458000806277,0.005483916000230238,0.002981708999868715,0.009039417000167305,0.014180959000441362,0.025239417000193498,0.07989195799927984,0.0601184999995894,0.0634252079998987,0.029880582998885075,0.07501733299977786,0.05523508400074206,0.09906450000016775,0.10448237499986135,0.11842875000002095,0.011902375001227483,0.01632195799902547,0.05947500000002037,0.01546591600163083,0.06756479199975729,0.16445333400042728,0.05276512499949604,0.19826199999988603
run_6,0.008838542000376037,0.028451583999412833,0.012454957999580074,0.014699916000608937,0.0021463749999384163,0.006043707999197068,0.014494541001113248,0.003095207999649574,0.01267737499983923,0.016957583000476006,0.03358095800103911,0.16910474999895087,0.09773854200102505,0.052926207999917096,0.029405416000372497,0.11397691599995596,0.04456583300088823,0.15311949999886565,0.021352207999370876,0.06599850000020524,0.007876290999774938,0.05519754200031457,0.10283837499991932,0.01005504199929419,0.07389112500095507,0.052120124999419204,0.1326967919994786,0.13118983400090656
run_7,0.008359082999959355,0.0225417080000625,0.013428041998849949,0.014997166999819456,0.003175834001012845,0.011241042000619927,0.009299542000007932,0.0032442910014651716,0.008884374999979627,0.004298042000300484,0.031354999999166466,0.1821540000000823,0.10051533399928303,0.06532870900082344,0.05958108400045603,0.060482082999442355,0.10728891700091481,0.11405541600106517,0.030831707999823266,0.14304416599952674,0.015473375000510714,0.014392749999387888,0.024516000001312932,0.021183082999414182,0.05914958300127182,0.02912883399949351,0.08695537499988859,0.03866054200079816
run_8,0.008390708000661107,0.031022333998407703,0.010732459000792005,0.014722624999194522,0.00211620800109813,0.014639916998930858,0.005517457999303588,0.005330166999556241,0.009228541999618756,0.005702374999600579,0.021026833999712835,0.20341141700009757,0.07595266600037576,0.09618037499967613,0.05169745800048986,0.06925558399962028,0.06052720800107636,0.15184279200002493,0.0654199159998825,0.0716829590000998,0.013932666999608045,0.01666020899938303,0.02439829099967028,0.020321540998338605,0.055694082999252714,0.03151945799982059,0.0467052079984569,0.03794695800024783
run_9,0.008209125000576023,0.024346042000615853,0.010928583000350045,0.013410541001576348,0.0021693339986086357,0.010129000000233646,0.006219375000000582,0.003846333000183222,0.017832042000009096,0.0045474580001609866,0.025206874999639695,0.06161879100000078,0.03767195799991896,0.08041058299932047,0.01654525000049034,0.0691305000000284,0.05778058299983968,0.04897641600109637,0.03843716600022162,0.13026908299980278,0.00988350000079663,0.08529120800085366,0.01864637499966193,0.020846249999522115,0.04172912500143866,0.03702158300075098,0.031173000001217588,0.03474574999927427
run_10,0.008743417000005138,0.028455583000322804,0.008257916000729892,0.016217708000112907,0.002661582999280654,0.0057333340009790845,0.015019583001048886,0.0035187499997846317,0.019168041999364505,0.013150832999599515,0.024029457999859005,0.21398799999951734,0.03559254099855025,0.14983500000016647,0.0560643330009043,0.0607927919991198,0.0476611670001148,0.09659779200046614,0.04762325000046985,0.080619749998732,0.008456042000034358,0.03564520799955062,0.02239933300006669,0.03871350000008533,0.03266845899997861,0.035573125000155414,0.08098087500002293,0.0262985409990506
