,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,59544577.82758418,620238.659565249,33225.95277831362,434.70284556934837,505.9863355984586,600.3851682773789,739.5387035517319,837.9463199369958,902.8577324734026,1645.43827168099,1114.4236712293732,4144015.2873009327,32621.65788086459,1652.5037706431663,14874.3612922233,1720.3716639428342,1823.174713707165,25447.857420668042,3830.0943723323685,2149.9984814530158,2311.619165152741,2307.331951841409,2610.0727857067805,2755.386746142285,2946.71284430584,2993.2391253878914,3122.966490780931,3423.273061174853
run_2,8251565.327137602,2168774.598512264,16115.215594181456,468.7395217587273,510.4097184993805,600.7865160302978,718.6522467650318,808.9611410380828,902.4687477723554,1883.4616208696161,1130.3977854757986,8762631.597777255,1901.0063568456533,10377.504499789484,2964.2613829528545,1616.1771664199464,1703.0563143428953,7586.665226851902,2286.329661249422,2124.821289809582,2318.9268124548157,2304.364379517795,2617.652982323837,2735.747317840048,2947.3933539871646,2992.969035066312,3099.7135484846403,3415.9617608483686
run_3,18869313.553365257,799406.5528000062,16427.291112106657,406.90059402078487,512.0320606555692,600.3430955609855,724.538008924691,811.4030038085543,901.1556458618514,2079.7318313981277,1246.4237127580982,10980263.005866569,1515.4571778937939,1690.9988888865919,21977.236329164025,1605.2288007530972,1784.402549061294,25384.337385428196,10203.110843123404,2121.936756311496,2313.555006538622,2307.511048813036,2610.5698221234393,2749.0189938359968,2945.9992844358067,3113.359451157806,3099.4316606416705,3402.7860849737704
run_4,51885.90951589227,112607.29582357338,19917.18677713526,406.8436103131563,519.0361804118204,602.7376298508593,715.712023011957,816.941869953525,900.2257865325785,1772.604101452167,1123.1994704091308,2306748.016010411,1333.5000536840153,12447.443174558566,1658.9307208250646,1989.9235978632764,1729.296535204291,8533.629742301471,14242.45031075896,2009.4167531989956,2308.6689126562487,2309.3216634441333,2623.7728181064062,2738.946295971102,2949.979969798841,3145.6085533376217,3101.991193766119,3446.7109023818903
run_5,61609458.73153988,340579809.8689898,7758.439523311131,407.80772857233745,508.0275323508743,600.0546869083026,716.7010286015502,806.3485800667193,900.1584795551399,1302.6881808015455,2001.3288019365816,7268983.284324928,5196.725863002024,2203.342790994964,3294.130289409997,1720.2520101085183,1842.9413975930845,25597.43751812927,14339.158121517172,2023.199730599431,2319.653390586988,2306.652070663754,2609.8633423786587,2743.9503300198344,2946.603195831814,2950.0326059801027,3126.834441918504,3400.2381725628743
run_6,1465.3598215113975,6622.583907075619,28351.695829129843,407.20539771708405,509.0710899097277,600.3637338854306,726.3484763440995,818.4093148790627,918.3526289500245,2040.0230077675951,1156.9865744340505,7598314.533004338,55029.31192117881,2163.7707031069785,15899.338075317892,1769.2932930074107,1727.9127324912022,16730.681913074837,6520.6635284448175,2143.9031178964988,2321.677652157781,2302.098717524594,2611.473500574936,2749.918548357063,2948.4595496988377,3892.206648062541,3099.6765832621595,3411.844343348483
run_7,10202165.514911689,169720.17101663287,21458.924872871627,407.8716499830547,505.2666433136327,600.6269590021803,738.440805082386,809.950745358705,902.3681161483885,1895.4482740525345,1141.6517755634914,6384100.997763108,1497.0220706772463,1565.1675532199927,16558.912748895156,1739.6443533725214,1840.7484235284496,55222.40378485214,2640.81420846477,2033.042474389887,2309.6742574648656,2300.951827857594,2613.0244644213044,2749.7448464858553,2948.643606811067,3069.7401412805575,3094.70643642606,3384.4744056432705
run_8,1987728.3118264384,256091.0149580814,25433.110332809734,408.4381100227129,512.981599549434,601.2618854193732,716.1956575543846,805.5457233178179,902.2079249444375,2150.7980856805048,1765.1207965275676,20051.116396784666,18828.35023357762,1463.9959853600283,18646.233917088743,1688.0443044535573,1721.8325637163505,7534.131928182182,2120.9405479574107,2009.7744576855498,2307.1269267030866,2306.5265075466637,2617.223839999717,2747.986937321814,2951.4127435154896,3157.69214248206,3101.376763352158,3217.0460656665946
run_9,67878.69811415531,593057.5277748565,16012.81194113582,407.7711846302409,510.7569438933322,600.7378143070231,723.4168177188517,805.5317460287058,900.7658749439073,1435.468637629826,1304.5804729621545,89298.58484825605,9843.116521801492,10209.621716139842,32317.79121871473,1872.6745621888213,1742.7006105193182,22578.54674292363,3961.7461319761037,2041.2512284711142,2308.4226608724507,2305.399495858142,2609.781932696149,2738.1746503582913,2945.5899996785947,3227.404124474887,3100.513192369043,3446.8822755904093
run_10,8816923.729972625,173163.482206055,24849.59388662375,446.1940315377801,508.0677771755657,603.883628687999,731.6051092702446,812.9433274343598,900.0013714741757,1285.3052174674372,1107.4098945017156,5262757.425770524,16178.304011637638,7856.271746583202,1577.1977935561526,1806.3625855271741,1779.6650421273862,14742.907591844587,2593.696129848816,2039.0701799207745,2316.0413380355294,2305.158678587607,2613.239315321228,2746.6994236619166,2945.6086076044153,2960.5147019933675,3105.981587763264,3430.512343396308
