,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,0.09820500000023458,0.0767072079997888,0.09297291600159951,0.07482558300034725,0.0727262909986166,0.08134995799991884,0.11564037499920232,0.08482062500115717,0.09692133300086425,0.10583120899900678,0.14250254199941992,0.20339570899886894,0.16746987500118848,0.17681091700069373,0.15611479099970893,0.20277704099862603,0.28080108299946005,0.19040533299994422,0.26286583300134225,0.3323575829999754,0.33652441599952,0.3312142499999027,0.38143016699905274,0.3624018749997049,0.4082866249991639,0.4545161250007368,0.5017484590007371,0.5266509579996637
run_2,0.06601154199961456,0.0689777919997141,0.07997437499943771,0.07449104199986323,0.07242266700086475,0.08089875000041502,0.1136335829996824,0.08500979200107395,0.1005212499985646,0.10900929200033715,0.143826874998922,0.1650931660005881,0.1729589170008694,0.17557162499906553,0.16063904200018442,0.2132863749993703,0.2833553340005892,0.18993425000007846,0.2513645839990204,0.2932540829988284,0.2682779999995546,0.3182192079984816,0.3778143330000603,0.3559860839995963,0.4058990420016926,0.45211079200089443,0.5076504579992616,0.49125916699995287
run_3,0.06660220800040406,0.07136479200016765,0.08262649999960558,0.07561662499938393,0.07189670900152123,0.07953312499921594,0.10974208399966301,0.08398133300033805,0.09844904199962912,0.10690070899909188,0.1457103749999078,0.1858982499998092,0.1717331670006388,0.17217579200041655,0.16176391699991655,0.20288575000085984,0.319917083999826,0.1872929999990447,0.23992758299937123,0.32743479199962167,0.26574116600022535,0.3095570410005166,0.37079979099871707,0.35135691600044083,0.403354500000205,0.45469204199980595,0.5012454589996196,0.5022388329998648
run_4,0.06712887499998033,0.07135883400042076,0.08203225000033854,0.07635741699959908,0.07214404200021818,0.08034833300007449,0.1135372090011515,0.0869312920003722,0.09844979199988302,0.10480195899981481,0.1452093749994674,0.16332558400063135,0.1724116250006773,0.17594720799934294,0.16121108399966033,0.20598945900019316,0.2920293749994016,0.24093487500067567,0.2427002080003149,0.28994587499983027,0.27542745800019475,0.336938000000373,0.385544958000537,0.35198599999966973,0.4303142909993767,0.4739017079991754,0.5606988750005257,0.5153279590012971
run_5,0.06703870799901779,0.07169633299963607,0.08159391700064589,0.07628133400066872,0.0716950000005454,0.08004879200052528,0.11154650000025867,0.08501970799989067,0.09670787499999278,0.105299417000424,0.15004845799921895,0.1686500830001023,0.17558416700012458,0.17515895799988357,0.15936279199922865,0.19678433400076756,0.28162841700032004,0.1914072079998732,0.28073687500000233,0.289612999999008,0.266258541998468,0.31027349999931175,0.3930466250003519,0.3882567079999717,0.40123900000071444,0.4392229999994015,0.4950156249997235,0.4783704999990732
run_6,0.06566116599969973,0.0704598749998695,0.0805152499997348,0.07422308300010627,0.07075624999924912,0.07902470900080516,0.11036274999969464,0.08714804199917126,0.10147420900102588,0.10618712499854155,0.13844833300026949,0.15975220799919043,0.18028899999990244,0.1838354999999865,0.1681325419995119,0.2565754580009525,0.2916777500013268,0.19774212500124122,0.247493625000061,0.2964604170010716,0.2900170419998176,0.38478324999960023,0.380954833000942,0.36283491699941806,0.4157186249994993,0.4554924590011069,0.497164000000339,0.4930462499996793
run_7,0.06596687500132248,0.07107262500176148,0.08309212499989371,0.0765240000000631,0.07292137500007811,0.08139987499998824,0.11481137499868055,0.08603787500032922,0.09779066699957184,0.10735099999874365,0.146268541999234,0.15809279200038873,0.17114454200054752,0.16870345900133543,0.15953175000140618,0.20264508299987938,0.27807279199987534,0.19246145900069678,0.2417994160005037,0.2900993329985795,0.2658270000010816,0.309375667000495,0.3839079590015899,0.35093541700007336,0.40970874999948137,0.45129679199999373,0.4921404589986196,0.48600058400006674
run_8,0.06588987500072108,0.07025783300014155,0.0791808329995547,0.07486149999931513,0.07057824999901641,0.08012341699941317,0.11258900000029826,0.08574933400086593,0.09652479200121888,0.103440667000541,0.1402567920013098,0.15530737499830138,0.17263058299977274,0.1745219160002307,0.16008749999855354,0.20616795900059515,0.28665462500066496,0.1908472499999334,0.24189300000034564,0.2898632500000531,0.2758714580013475,0.3108516249994864,0.3696075000007113,0.35998074999952223,0.4002942910010461,0.4537877919992752,0.4920081670006766,0.5120515829985379
run_9,0.06545429200014041,0.0701500830000441,0.0800519999993412,0.07467225000073086,0.07097941699976218,0.080477499999688,0.11185433399987232,0.08479199999965203,0.09684145800019905,0.10239195800022571,0.1406970000007277,0.16037620899987814,0.1673033339993708,0.17099070800031768,0.15556037500027742,0.20061529200029327,0.28568600000107836,0.19347329199990781,0.24403466600051615,0.29110304200003156,0.2648130420002417,0.3098818750004284,0.37882395800079394,0.35136208400035684,0.4147468330011179,0.45180079199963075,0.5271214589993178,0.5481088329997874
run_10,0.07388949999949546,0.07125704099962604,0.08187962500051071,0.07712025000000722,0.07178412500070408,0.08297066699924471,0.11315770799956226,0.08773420799843734,0.09933441700013645,0.10735841700079618,0.14468420899902412,0.16013933300018834,0.17383574999985285,0.17568437499903666,0.15943400000105612,0.20808799999940675,0.2789602080010809,0.18806662499991944,0.24656791600136785,0.29698158300016075,0.2727419579987327,0.324199458998919,0.40020937500048603,0.371145457998864,0.41431520900005125,0.4445949169985397,0.5065541660005692,0.5012251249991095
