,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,10498509149.888935,3918.1259739234883,15497.35320216675,485.92158263749286,552.9993059246095,637.8279010026691,744.5286146820769,823.722209491687,1278.0184433138002,2113.171550580281,1121.3545603309972,9001.432575766921,4679.100743784218,1568.573758186114,6603.6584585196815,2175.2952586769234,1770.4354852559795,28393.89764073671,4700.207856182087,2171.5227600613075,2343.730005861843,2702.918840526717,2720.0674573580236,2729.463915556239,3545.6538712990255,2825.721682980769,3281.0928365885698,3407.447953188178
run_2,4877134723.901473,2007017.8780595774,17795.87808068238,608.7264920303121,539.7483275901591,640.8466812935457,755.8183254762515,821.8891107437632,1163.310541102716,2172.7077813127576,1128.5215739870239,435071.7299771983,411926.65799187514,8057.191105466052,7411.466135863085,2234.9580935441286,1749.8446377998414,16555.890275780708,261915.5264508053,2098.888797276056,2340.6726994342275,3137.7986012208958,2688.6541217307245,2807.7270264708054,2998.633819414439,3492.2340042466885,3283.836539484082,3272.507069558793
run_3,226352792.32801998,305669152.0893863,895.7667142703343,581.2028143133894,553.2563479878015,624.6463800653795,802.1399033611273,815.245876056691,1216.1228381153742,2178.4286010788915,1139.12348381869,431344.9361461759,32366.076452717036,5937.292376946496,2500.6191777468466,1770.8492714791657,1760.6405539616876,47033.56074625728,39961.20134190762,2323.07332189948,2266.237491248759,2308.799218831243,2696.4640159594537,2889.0282878742255,2902.3346032862987,3919.259404041436,3222.272892366698,3538.4419245574627
run_4,1635819982.8971033,10329776099.306242,1371.298685131443,456.84539909060277,541.839732188168,654.0753754741642,779.1062213592464,821.7976233942412,937.2597942701155,2070.456738623253,2086.042420083215,205766.00220194538,16620.198642847943,4048.3823314365723,60747.77596379177,1738.7388233480776,1745.9664073662834,4354.100457797034,86646.56138597535,2071.278180675123,2359.215611907913,2322.1024709679014,2753.6271162273124,2817.99367841823,3109.8491469976557,2805.668738852497,3222.6042712920907,3739.1178650963566
run_5,6786250.6199816,120069225.09247419,533.7010221431991,536.4415554664092,527.6635614669693,626.0852220004405,736.0872536707051,816.9272013661191,1100.4915384107444,1922.0276962798098,1128.7011214319086,154696.7116708616,7753.7432186741335,2403.3256355091435,4030.6709267129017,1871.2852541710445,1786.1201714390497,55350.19354496416,3389.910990845068,2123.4958737133484,2345.3570657910113,2346.90570518964,2639.5097499219837,2837.2535116679073,2950.0602705783504,2871.3216878524295,3179.004191611226,3532.9855908277113
run_6,15974866629.94335,256222.93695656178,3694.570830785341,1166.9523396071495,551.7121879033803,632.7443058190308,733.8164439623804,823.9227452779612,1125.7501766921146,2282.829498040467,1558.978642254182,453855.1476816908,9102.360965040916,5758.101321013761,8066.9790368135955,2091.50920612726,1783.0445660767907,4931.4246300604955,44045.2526893358,2185.1855905353204,2345.944770096833,2352.169182201566,2728.6014129263713,2778.670272351346,3172.7508455371817,2754.174058948418,3164.8136090008493,3743.1763417624757
run_7,45813598278.36631,234255167.81865248,3629.241980881233,468.83995181808837,548.6809603857062,630.0344677535759,752.4473779846082,822.503637184057,1195.239982119468,2099.559812294102,1188.7867532049268,755218.7389720422,14300.037971904458,9845.208360990455,9374.401909567652,1795.7947951518104,1745.3687796208237,36371.570186525794,9147.435152743223,2116.276834356822,2333.0596493387657,2317.173195780093,2899.291370715311,2701.8154858611383,2985.3631968334453,4287.0405443086875,3294.8447556128663,3688.3020075813756
run_8,9405645667.072874,1883288374.6465487,4217.752938433914,649.8028321138363,539.7631408711993,623.7011474223701,762.891578475013,826.8877044563603,1067.5610440742894,2312.0657472816356,1143.907720238594,6294817.825686257,3495.187970295831,13482.993218472482,22404.790597772415,1815.2410703196908,1767.3667954328478,14641760.724839162,1923.9805131346216,2264.0025817232913,2208.0478018901963,2321.6681884725285,2682.5100180727827,2624.171136166593,2988.194163949949,3782.2736165918545,3201.8567529811344,3293.5674974945778
run_9,41233048448.13137,37849679.59906874,6025.323006878851,504.08828335890274,549.7402658386311,638.5874286675883,765.275907706095,813.2843633494541,908.6618170270974,1853.6420404927767,1227.7764417455883,1754781.3432712825,16530.341863575704,4584.018569682391,4123.435965141181,1953.7262867047648,1789.1734386743237,71628.90491930912,6222265.08101342,2220.2923316798856,2334.175124779107,2332.1531045993843,2755.137133828536,2805.0334496118107,2980.586457358236,3321.47159331683,3208.368560189159,3510.3163628164934
run_10,15168790.015483933,8896982.429725211,4290.535174969495,455.0672984257486,577.6853942315163,649.0425332041461,752.9348506517829,821.8989202571538,2280.3496389192114,2143.1303008630634,1228.631177868908,592040.4742354958,3805.1360691571276,2012.0228032796854,2210.6701696286973,1873.5304849069148,1831.6785799988888,14746.757522456606,9307.795100495934,2192.7344366349007,2342.4886714551053,3756.920745752817,2748.4099098666547,2808.7290639377443,2962.150009090541,3044.298529903862,3180.7209771573425,3624.764728675199
