,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,0.49459595900043496,0.49111516700031643,0.48589349999929254,0.5033671249984764,0.5397966250002355,0.4921399590002693,0.522219791999305,0.4508973749998404,0.5149893339985283,0.46756249999998545,0.5426806249997753,0.5121015419990727,0.5853990410014376,0.5163937079996685,0.554376374999265,0.6356762089999393,0.5290887499995733,0.5298084169990034,0.5696356669996021,0.5868337920001068,0.5764646250008809,0.6361245409989351,0.6325532499995461,0.5735783750005794,0.65967795799952,0.6233608330003335,0.6980804999984684,0.7113225829998555
run_2,0.46905120800147415,0.5281033329993079,0.5661511250000331,0.5385929580006632,0.4901268749999872,0.5186851670005126,0.5329006669999217,0.5026682089992391,0.5229951670007722,0.4836028340014309,0.5646685829997296,0.6300215000010212,0.5665753329994914,0.5268787910008541,0.6288357079993148,0.5446882090000145,0.643584125000416,0.5643043340005534,0.5878648750003777,0.6610694579994743,0.7266096669991384,0.6194527919997199,0.6505623749999359,0.7329177499996149,0.6617651249998744,0.7156453329989745,0.6868411670002388,0.7659336249998887
run_3,0.481034833999729,0.5367069170006289,0.5568855830006214,0.5341398330001539,0.4889347500011354,0.7077469169998949,0.4913400000004913,0.5374634170002537,0.5964407499996014,0.6592222079998464,0.5909689580003032,0.5931166249993112,0.6374331250008254,0.5870790829994803,0.5837511660010932,0.6436013749989797,0.7134561250004481,0.5221667919995525,0.6404585420004878,0.6491840830003639,0.6498725830006151,0.5870328330001939,0.7102972920001775,0.5907774589995824,0.6487678329995106,0.7506339579995256,0.675708583999949,0.6968320409996522
run_4,0.542165875000137,0.5280117919992335,0.4977282079998986,0.5059707910004363,0.5796072499997535,0.5669856250005978,0.5533015000000887,0.5613600830001815,0.5636755830000766,0.5885917920004431,0.6065244999990682,0.7062655000008817,0.617681541998536,0.5287649999991118,0.654363875000854,0.6792301249988668,0.5485839170014515,0.6312533339987567,0.6188352080007462,0.7713856249993114,0.5327117500000895,0.7465730000003532,0.7856142500004353,0.5342665420012054,0.7650228750007955,0.6404356659986661,0.8119630000001052,0.6959837920003338
run_5,0.5063662079992355,0.5754236669999955,0.4587952910005697,0.5542184580008325,0.5053985829999874,0.5435583330017835,0.5263747080007306,0.6041921249998268,0.5064707909987192,0.5581826670004375,0.518278833000295,0.5384739159999299,0.5075433330002852,0.48860162499840953,0.532282791000398,0.5859887919996254,0.6575653749987396,0.6968052080010239,0.5432799589998467,0.49884558399935486,0.652241416999459,0.5976933330002794,0.737210082999809,0.6954405420001422,0.7210534999994707,0.7366332090005017,0.7096452499990846,0.6451977079996141
run_6,0.47153741600050125,0.47243874999912805,0.5552615000015066,0.5012760830013576,0.40440858299916727,0.4873045419990376,0.5942998749997059,0.5137746670006891,0.5300281250001717,0.5834517089988367,0.4682642499992653,0.6789671660008025,0.5070890829993004,0.5474304999988817,0.6245633329999691,0.5212706250003976,0.6521233749990643,0.5277467089999845,0.6112031249995198,0.5889728339989233,0.5052476660002867,0.7058585830000084,0.6487036250000529,0.6333680839998124,0.7065966669997579,0.6673823330002051,0.7137727079989418,0.7898914159995911
run_7,0.5698399590000918,0.596685417000117,0.5394652089998999,0.48528362499928335,0.6554202919996897,0.5428948329990817,0.6084678329989401,0.427623040999606,0.6709589999991294,0.4066597080000065,0.5898367919999146,0.5805146250004327,0.43691224999929545,0.6404335830011405,0.582541666999532,0.488120666001123,0.5606687500003318,0.7278838330003055,0.5718428750005842,0.597934167000858,0.620946749999348,0.6174630000004981,0.5514797089999774,0.9388762500002485,0.7241298749995622,0.6099888749995444,0.7461034999996627,0.7963272910001251
run_8,0.6146680000001652,0.6164253749993804,0.4930591669999558,0.48148554200088256,0.6146170840002014,0.6274257500008389,0.45594883400008257,0.6485682500006078,0.5080047920000652,0.6917164999995293,0.670134957999835,0.7162289169991709,0.4565247090013145,0.5856595419991208,0.6427727080008481,0.9289439170006517,0.6735130000015488,0.7052909999983967,0.6502888750001148,0.7134452919999603,0.6209171250011423,0.8421644999998534,0.7383144160012307,0.7434528329995373,0.8647650830007478,0.7200918329999695,0.607345708000139,0.8065209999986109
run_9,0.6601785000002565,0.686428666998836,0.5177852919987345,0.4557383339997614,0.8307816249998723,0.30143583300014143,0.5526906670002063,0.7710906659995089,0.6421169170007488,0.8256034999994881,0.4305214999985765,0.9560925000005227,0.7029154170013499,0.7777898749991436,0.7624722920008935,0.7241120420003426,0.5922086659993511,0.8733472080002684,0.7457977499998378,0.7603432500000054,0.6877088330002152,0.9613537090008322,1.0412690840003052,0.7636271669998678,0.6875667919994157,0.922023540999362,0.8633499579991621,0.7337341660004313
run_10,0.5924031659997127,0.49262987499969313,0.61904104200039,0.5482302500004153,0.47002099999917846,0.5538955419997365,0.49866204200043285,0.5721486250004091,0.7538869999989402,0.6183409580007719,0.4958231250002427,0.9208240829993883,0.5026316669991502,0.754284832999474,0.5363481249987672,0.6984776250010327,0.7745660420005152,0.659025124999971,0.797332792000816,0.6437912919991504,0.805933665998964,0.52350587500041,0.5488567079992208,0.5466123329988477,0.8921780410000792,1.0742928750005376,0.8068503750000673,0.9545820409985026
