,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,3058281175160.5273,2.8439907493677576e+23,44124540627707.93,320582.25504808483,1552.3151389197908,1368.229739465749,4242.421809623341,1581.8670292070562,139405.75581964423,8390.51378424661,19751944536.761353,585828534049.3748,420524461704.5198,29124317304.686142,547390076028.99066,245110.78017393238,15214325.004559869,160785225484.34567,1122648818570.848,4796.5122139978985,30917.329311782105,12936.235654530368,8706.444745137602,14996.84985296037,117229.89563411709,60324.94199572711,57493.93396719204,60848.82076984222
run_2,3074008412877.472,2.80489215056647e+23,43932491180712.92,331157.8253392929,1563.640091028751,1400.9756921484359,4250.211549795556,1599.3983693544183,139252.2369039993,8166.057936142589,19770100631.145264,568045155443.7805,422220663549.808,29251140072.21261,552971432480.8306,244744.03435943357,14940962.514324041,158883194755.57056,1115624066828.1838,4786.609829413028,30097.123923874628,11520.528634650716,8865.194360069923,13180.631126938193,115448.54026534945,53927.069244730716,57367.44074187008,60801.361153457554
run_3,3056925445575.602,2.8895911767390912e+23,47438449870331.99,331619.57264832756,1541.34223950909,1369.6932141700775,4206.615255942739,1582.3646947636175,145652.98913080906,8382.445543797685,19317090104.086784,578991857463.7472,421911441408.7107,29351434386.864082,554337628866.3961,243297.0623491998,15061050.901720675,160178480925.75958,1123294087028.5142,4793.837369587724,30122.533136118484,11485.978145619785,8520.610661790066,14690.011180701891,121409.09531170083,59531.18444604987,57577.564802240115,61853.548287874735
run_4,2999410585638.8823,2.7617905248432716e+23,50785471038896.64,329478.7556502922,1556.7841110008007,1392.4781821094232,4235.7980488524845,1551.8107118419762,128247.892865465,8555.40516419358,19644011357.44368,575574843595.0908,423360465406.5841,29165257354.1238,559127812384.4551,234303.22992948495,15043420.447250571,160344543067.92502,1119959870539.455,4801.444130408112,29682.16872221859,13196.724997024216,8816.745347063741,13211.816284051549,114644.15371255147,79392.82690925304,56060.17085465483,60988.72891252162
run_5,3067380015850.1934,2.8352444159557275e+23,52988976524649.32,329402.30888997193,1563.7412843509107,1361.2316006844762,4239.082660785021,1588.6096858647352,142992.07716365598,8520.98120958197,19557863844.26656,582362515006.8335,415030071834.84436,29195114203.81038,550024689204.5907,245024.32333452458,15037268.07834893,159089055299.3095,1123932132474.9648,4802.5196015326,26832.258670397416,13337.521161608001,8634.499569849766,14856.863908938922,114228.72301463009,53867.593974184776,56771.54160935786,60878.645417466345
run_6,2933253825674.6562,2.8772719361301145e+23,48641435246096.586,312644.95583507244,1567.6155487560643,1428.1095474450294,4304.608992481653,1565.9086804884728,147122.75397747708,8354.22109512972,19737997967.92176,577717800186.9349,423167658395.1434,29359148942.20059,558522783573.776,241390.6944485941,14919152.32581316,159664509242.6759,1122714551604.9998,4802.626724051123,30489.749706847342,11600.576249468468,8392.059545085245,14903.063415409224,113331.6110690195,59666.151517693725,56507.38577470249,62820.05550507482
run_7,3069907239950.642,2.846373954068585e+23,51829671387451.72,327536.8913896075,1551.0639536511956,1373.0063329152247,4274.903624684527,1552.3274744414844,137758.06849225043,8034.024983672733,19690669765.253677,579302531037.1827,422179151210.0339,29045133954.81857,556746160642.7408,245310.88038093346,14297586.322767809,160790858826.64798,1124937656834.1252,4780.2148579828045,30094.79392960049,11300.377780157376,8571.26592680303,15255.832142360292,117735.06936222018,59110.45918591741,57380.93424671744,60147.725590006106
run_8,3039608841885.032,2.7758939737329678e+23,42976310098147.555,316597.014522733,1559.8212359219963,1354.8259647126392,4319.763270303574,1552.9883236192925,139103.07808555735,8514.460624949943,19512567227.786266,575798052119.1659,421121509749.05884,29307672302.510406,557742325486.6339,241282.74845469094,14993183.462552313,160472969830.3313,1120603262134.4253,4811.4626943032035,30155.913683334842,12398.718364733964,9116.874664512125,13444.463269729798,112596.04473322636,59672.60064949413,57443.218933875214,60483.712780410955
run_9,3038375115986.438,2.8071601119969042e+23,46170579449416.96,330369.1433045152,1564.803338526465,1365.8011560514724,4201.262235362787,1571.7117493744304,138224.3562451575,8790.043990364755,19820138944.13763,580716181666.5806,419583931971.52954,29241375179.041077,552719110786.8977,244711.61357288575,14995143.23751377,159699232773.93066,1125315940682.465,4801.527729273963,26916.66647242983,13277.352302574163,8734.904488269203,13271.097980208162,115969.74028876006,79819.88259610407,56746.76880794115,60720.58142721702
run_10,3086826421021.709,2.7308732378010467e+23,53479287228019.64,322414.7012277464,1573.0135549155038,1408.2717046940934,4309.173340428613,1583.3510064805932,146244.44544242378,7993.016902234335,19717287489.49388,583799168309.4144,420608907204.0176,29276013667.08684,555864498728.6821,241199.87859478782,14835326.658442946,160190456865.9428,1108418121931.2742,4801.678861830216,31167.293576618013,12853.317602418076,8471.578405889639,13336.03351258651,116396.55903403484,78382.40177555176,57659.10842421558,62502.628590257846
