,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,3.1956307079999533,3.2619857079989742,3.1688324160004413,3.0447214579999127,3.029491916999177,2.9863139999997657,2.6862901660006173,3.0409295829995244,3.2781356669984234,2.985293374998946,3.4061354999994364,3.3653953329994692,3.4229900000009366,3.460715082999741,3.41738045800048,3.3453728330005106,3.5712637920005363,3.440549541999644,3.680086833999667,3.5131000420005876,3.280860458000461,3.3532795000010083,3.3682827920001728,3.416016250001121,3.1672279159993195,3.6161570829990524,3.809968207999191,3.5968684580002446
run_2,3.1795673750002607,3.4747630419988127,3.305056250001144,3.147707250000167,3.0970907920000172,3.1006672919993434,2.781914791001327,3.1600195829996665,3.3311929169994983,3.07943858300132,3.6449896249996527,3.3909145839988923,3.469546124999397,3.485885041000074,3.473560959000679,3.514220416000171,3.6014134170000034,3.4580595000006724,3.574211999999534,3.486018207999223,3.3729600419992494,3.3276957079997374,3.411693207999633,3.550575792000018,3.200921292000203,3.5820444589990075,3.6940165420000994,3.5560308340009215
run_3,3.0768478749996575,3.283430457999202,3.078443333000905,3.13043770799959,3.0223991659986496,3.003189208000549,2.745096583999839,3.0603870830000233,3.229341333000775,3.018580459000077,3.4542444580001757,3.422021667000081,3.566261291000046,3.44010045899995,3.409717750000709,3.508355833000678,3.5977100420004717,3.6515295000008337,3.6497850409996317,3.6243775000002643,3.3684350830008043,3.3890887920006207,3.457377417000316,3.556609874998685,3.2098210000003746,3.65952283399929,3.70101033300125,3.484526874999574
run_4,3.046008332999918,3.25505054200039,3.090159417000905,3.1610446670001693,2.9458309590008867,3.022088708999945,2.7448378749995754,3.1603023749994463,3.3629706669998995,3.0241045000002487,3.5321139999996376,3.345550791000278,3.49973004200001,3.3737712080001074,3.5682531250004104,3.5136354169990227,3.5375987919996987,3.5858234999996057,3.65602379199845,3.6266171250008483,3.4494365409991588,3.5292948329988576,3.4151391249997687,3.4476646250004706,3.1762062090001564,3.650264125000831,3.756504375000077,3.5596319169999333
run_5,2.995075167000323,3.24873454200133,3.157423167000161,3.0894021250005608,3.1170584999999846,3.0483309159990313,2.7918124169991643,3.103527875000509,3.2022329999999783,2.9851673749999463,3.54650912499892,3.380011542001739,3.486118541999531,3.3743932920006046,3.3836861250001675,3.6359769999999116,3.5122767080010817,3.6385008329998527,3.722973166999509,3.5571982500005106,3.4331652500004566,3.477338333001171,3.517639916000917,3.5511765419996664,3.2419150000005175,3.566590415999599,3.7500473330001114,3.6079434160001256
run_6,2.9320322919993487,3.4583342080004513,3.1999868329985475,3.1219634159988345,2.94661570900098,3.004217207999318,2.759864457999356,3.054269625001325,3.265593332998833,3.111369874999582,3.466457749998881,3.3760836250003194,3.5081683749995136,3.412028167000244,3.4299104159999843,3.571152709000671,3.6554175420005777,3.754029249999803,3.8618897500000458,3.7011987080004474,3.3681074590003846,3.507845207999708,3.6507784170007653,3.5798608340010105,3.298663540999769,3.6520899579991237,3.756151375000627,3.551358167000217
run_7,2.9800785000006726,3.3444163330004812,3.1529774999999063,3.135389041999588,2.9509092919997784,3.0206577499993728,2.78171866699995,3.0094738329989923,3.344466417000149,3.0166152919991873,3.472103457999765,3.4502677079999557,3.511412416000894,3.443653207999887,3.417397708999488,3.491822832998878,3.483118333000675,3.6365734159990097,3.634395457998835,3.511010999998689,3.3560376660007023,3.3938088750001043,3.4412340840008255,3.4705707499997516,3.2920104169988917,3.6026098750007804,3.807689125000252,3.6145058749989403
run_8,3.045304250001209,3.289153208999778,3.1288651659997413,3.0989662499996484,3.0307266660001915,3.057628083999589,2.786897541000144,2.9573172079999495,3.284797541999069,3.019082750000962,3.448745374998907,3.432394583000132,3.5682025410005735,3.52438337500098,3.382263833000252,3.456575250000242,3.653569541998877,3.6256299169999693,3.534795834000761,3.559107833998496,3.397194084000148,3.488050165999084,3.509900708000714,3.5002129999993485,3.190785250000772,3.6172779999997147,3.8021815410011186,3.5414110839992645
run_9,3.0496309579993977,3.270976542000426,3.100517167000362,3.0997313749994646,2.994232417000603,2.9886178340002516,2.79223970899875,3.0509177910007566,3.2354968750005355,3.0650431659996684,3.415860042001441,3.3933517499990558,3.4519854169993778,3.413678416000039,3.5399702499998966,3.44647729099961,3.548805042000822,3.5826684160001605,3.605945041999803,3.5572508340010245,3.36996949999957,3.488967582999976,3.4190605410003627,3.529915000000983,3.1992784999983996,3.67065625000032,3.78326187499988,3.538133416999699
run_10,3.0086718750008004,3.3307962920007412,3.0003141249999317,3.1863039170002594,2.9626932499995746,3.0596124999992753,2.748989375000747,3.045763916999931,3.267752041998392,3.022936375000427,3.5732247910000297,3.3451020840002457,3.4631528750014695,3.416411042000618,3.63732274999893,3.466810291998627,3.5436505409998063,3.6002807500008203,3.6515756659991894,3.6210947910003597,3.303253833999406,3.5462072919999628,3.49722091699914,3.536559959000442,3.163366667000446,3.712449667000328,3.7644897080008377,3.4555657919991063
