,scipy,pso,deap,pygad
f1,100.00034358733767,12968693071.31649,16940296.296378925,3042397707962.1157
f2,201.09321998724025,1292207183.992309,34547949.17555536,2.8173082231201934e+23
f3,300.0000001136661,5795.142163634295,20955.022264761887,48236721265143.12
f4,400.0000002076011,591.3888548861931,420.2474674125227,325180.34238556435
f5,753.1557844571761,548.308922438814,510.16358813577955,1559.414049658057
f6,703.8996879605439,635.759144270291,601.118111792983,1382.2623134396622
f7,1300.2100240102354,758.5046477329287,725.1148876824928,4258.3840788260295
f8,953.4475131019677,820.8079391577488,813.3981771822529,1573.0337725436075
f9,4687.428930049386,1227.276581404493,903.056230865626,140400.36541264397
f10,2785.9673542357423,2114.8019766847037,1749.0967228800346,8370.117123431392
f11,1182.6609215764086,1295.1823894964036,1309.1522955797961,19651967186.82969
f12,1712.4735440614318,1108659.4342418718,5281716.38490631,578813663887.8105
f13,1599.0206038600077,52057.88418898724,14394.445209116288,420970826243.425
f14,1553.2082122565564,5769.710948098315,5163.062082928282,29231660736.73545
f15,1669.1108395585263,12747.446834155782,12976.839376814793,554544651818.3994
f16,2258.0254845939057,1932.0928544429778,1752.797233763716,242637.52455984676
f17,2300.4855062857305,1772.9639415626516,1769.5730882291434,14933741.89532941
f18,2037.3806840879856,1492112.702476305,20935.859925425626,160009852707.2439
f19,2781.6858408588255,668330.2952494845,6273.9003855673245,1120744850862.9253
f20,2573.816467970014,2176.6750708555533,2069.6414469736346,4797.843401238067
f21,2442.4555731835453,2321.892889180376,2313.5366122623127,29647.583113322173
f22,4122.021027137593,2589.860925354278,2305.531634165473,12390.733089278512
f23,3067.7707124538347,2731.227230660715,2613.6674803652454,8683.017771447036
f24,2837.979958702762,2779.988582791604,2745.5574089994207,14114.66626738849
f25,2997.9614170467544,3059.5576384345122,2947.640315566787,115898.94324256098
f26,4575.521031017446,3310.346386104347,3150.276652922315,64369.51122947066
f27,3486.4982440183057,3223.941538628402,3105.319189876455,57100.80681627667
f28,3338.2233729476225,3535.0627341558625,3397.972941558682,61204.58084341292
