,scipy,pso,deap,pygad
f1,1.0,3.0,2.0,4.0
f2,1.0,3.0,2.0,4.0
f3,1.0,2.0,3.0,4.0
f4,1.0,3.0,2.0,4.0
f5,3.0,2.0,1.0,4.0
f6,3.0,2.0,1.0,4.0
f7,3.0,2.0,1.0,4.0
f8,3.0,2.0,1.0,4.0
f9,3.0,2.0,1.0,4.0
f10,3.0,2.0,1.0,4.0
f11,1.0,2.0,3.0,4.0
f12,1.0,2.0,3.0,4.0
f13,1.0,3.0,2.0,4.0
f14,1.0,3.0,2.0,4.0
f15,1.0,2.0,3.0,4.0
f16,3.0,2.0,1.0,4.0
f17,3.0,2.0,1.0,4.0
f18,1.0,3.0,2.0,4.0
f19,1.0,3.0,2.0,4.0
f20,3.0,2.0,1.0,4.0
f21,3.0,2.0,1.0,4.0
f22,3.0,2.0,1.0,4.0
f23,3.0,2.0,1.0,4.0
f24,3.0,2.0,1.0,4.0
f25,2.0,3.0,1.0,4.0
f26,3.0,2.0,1.0,4.0
f27,3.0,2.0,1.0,4.0
f28,1.0,3.0,2.0,4.0
